"","leto","drzava","drzavljanstvo","spol","stevilo"
"463",2008,"Germany (until 1990 former territory of the FRG)","Denmark","Males",1255
"464",2008,"Germany (until 1990 former territory of the FRG)","Denmark","Females",933
"465",2008,"Germany (until 1990 former territory of the FRG)","Estonia","Males",212
"466",2008,"Germany (until 1990 former territory of the FRG)","Estonia","Females",409
"467",2008,"Germany (until 1990 former territory of the FRG)","Ireland","Males",695
"468",2008,"Germany (until 1990 former territory of the FRG)","Ireland","Females",489
"469",2008,"Germany (until 1990 former territory of the FRG)","Greece","Males",5085
"470",2008,"Germany (until 1990 former territory of the FRG)","Greece","Females",3181
"471",2008,"Germany (until 1990 former territory of the FRG)","Spain","Males",3858
"472",2008,"Germany (until 1990 former territory of the FRG)","Spain","Females",3920
"473",2008,"Germany (until 1990 former territory of the FRG)","France","Males",6716
"474",2008,"Germany (until 1990 former territory of the FRG)","France","Females",6263
"475",2008,"Germany (until 1990 former territory of the FRG)","Croatia","Males",6400
"476",2008,"Germany (until 1990 former territory of the FRG)","Croatia","Females",2332
"477",2008,"Germany (until 1990 former territory of the FRG)","Italy","Males",12438
"478",2008,"Germany (until 1990 former territory of the FRG)","Italy","Females",7649
"479",2008,"Germany (until 1990 former territory of the FRG)","Cyprus","Males",67
"480",2008,"Germany (until 1990 former territory of the FRG)","Cyprus","Females",67
"481",2008,"Germany (until 1990 former territory of the FRG)","Latvia","Males",1076
"482",2008,"Germany (until 1990 former territory of the FRG)","Latvia","Females",990
"483",2008,"Germany (until 1990 former territory of the FRG)","Lithuania","Males",1420
"484",2008,"Germany (until 1990 former territory of the FRG)","Lithuania","Females",2033
"485",2008,"Germany (until 1990 former territory of the FRG)","Luxembourg","Males",1146
"486",2008,"Germany (until 1990 former territory of the FRG)","Luxembourg","Females",1085
"487",2008,"Germany (until 1990 former territory of the FRG)","Hungary","Males",19247
"488",2008,"Germany (until 1990 former territory of the FRG)","Hungary","Females",5904
"489",2008,"Germany (until 1990 former territory of the FRG)","Malta","Males",43
"490",2008,"Germany (until 1990 former territory of the FRG)","Malta","Females",23
"491",2008,"Germany (until 1990 former territory of the FRG)","Netherlands","Males",6685
"492",2008,"Germany (until 1990 former territory of the FRG)","Netherlands","Females",4518
"493",2008,"Germany (until 1990 former territory of the FRG)","Austria","Males",5358
"494",2008,"Germany (until 1990 former territory of the FRG)","Austria","Females",4119
"495",2008,"Germany (until 1990 former territory of the FRG)","Poland","Males",78651
"496",2008,"Germany (until 1990 former territory of the FRG)","Poland","Females",41216
